unique_entity_id,blank_deprecated,entity_eft_indicator,cage_code,dodaac,sam_extract_code,purpose_of_registration,initial_registration_date,registration_expiration_date,last_update_date,activation_date,legal_business_name,dba_name,entity_division_name,entity_division_number,physical_address_line_1,physical_address_line_2,physical_address_city,physical_address_province_or_state,physical_address_zip_postal_code,physical_address_zip_code_4,physical_address_country_code,physical_address_congressional_district,dnb_open_data_flag,entity_start_date,fiscal_year_end_close_date,entity_url,entity_structure,state_of_incorporation,country_of_incorporation,business_type_counter,bus_type_string,primary_naics,naics_code_counter,naics_code_string,psc_code_counter,psc_code_string,credit_card_usage,correspondence_flag,mailing_address_line_1,mailing_address_line_2,mailing_address_city,mailing_address_zip_postal_code,mailing_address_zip_code_4,mailing_address_country,mailing_address_state_or_province,govt_bus_poc_first_name,govt_bus_poc_middle_initial,govt_bus_poc_last_name,govt_bus_poc_title,govt_bus_poc_st_add_1,govt_bus_poc_st_add_2,govt_bus_poc_city,govt_bus_poc_zip_postal_code,govt_bus_poc_zip_code_4,govt_bus_poc_country_code,govt_bus_poc_state_or_province,alt_govt_bus_poc_first_name,alt_govt_bus_poc_middle_initial,alt_govt_bus_poc_last_name,alt_govt_bus_poc_title,alt_govt_bus_poc_st_add_1,alt_govt_bus_poc_st_add_2,alt_govt_bus_poc_city,alt_govt_bus_poc_zip_postal_code,alt_govt_bus_poc_zip_code_4,alt_govt_bus_poc_country_code,alt_govt_bus_poc_state_or_province,past_perf_poc_first_name,past_perf_poc_middle_initial,past_perf_poc_last_name,past_perf_poc_title,past_perf_poc_st_add_1,past_perf_poc_st_add_2,past_perf_poc_city,past_perf_poc_zip_postal_code,past_perf_poc_zip_code_4,past_perf_poc_country_code,past_perf_poc_state_or_province,alt_past_perf_poc_first_name,alt_past_perf_poc_middle_initial,alt_past_perf_poc_last_name,alt_past_perf_poc_title,alt_past_perf_poc_st_add_1,alt_past_perf_poc_st_add_2,alt_past_perf_poc_city,alt_past_perf_poc_zip_postal_code,alt_past_perf_poc_zip_code_4,alt_past_perf_poc_country_code,alt_past_perf_poc_state_or_province,elec_bus_poc_first_name,elec_bus_poc_middle_initial,elec_bus_poc_last_name,elec_bus_poc_title,elec_bus_poc_st_add_1,elec_bus_poc_st_add_2,elec_bus_poc_city,elec_bus_poc_zip_postal_code,elec_bus_poc_zip_code_4,elec_bus_poc_country_code,elec_bus_poc_state_or_province,alt_elec_poc_bus_poc_first_name,alt_elec_poc_bus_poc_middle_initial,alt_elec_poc_bus_poc_last_name,alt_elec_poc_bus_poc_title,alt_elec_poc_bus_st_add_1,alt_elec_poc_bus_st_add_2,alt_elec_poc_bus_city,alt_elec_poc_bus_zip_postal_code,alt_elec_poc_bus_zip_code_4,alt_elec_poc_bus_country_code,alt_elec_poc_bus_state_or_province,naics_exception_counter,naics_exception_string,debt_subject_to_offset_flag,exclusion_status_flag,sba_business_types_counter,sba_business_types_string,no_public_display_flag,disaster_response_counter,disaster_response_string,entity_evs_source
,C111ATT311C8,,,53YC5,,A,Z2,2013-11-12,2025-06-25,2024-06-27,2024-06-27,K & K CONSTRUCTION SUPPLY INC,,,,11400 WHITE ROCK RD,,RANCHO CORDOVA,CA,95742,6600,USA,06,,2006-05-25,1215,www.kkconstructionsupply.com,2L,NV,USA,0005,2X~8W~A2~HQ~XS,423390,0009,423310Y~423320Y~423390Y~423510Y~423710Y~423990Y~424690Y~424950Y~444110Y,0001,5680,Y,,11400 WHITE ROCK ROAD,,RANCHO CORDOVA,95742,7518,USA,CA,TRACY,,LOVELAND,DIRECTOR,11400 WHITE ROCK ROAD,,RANCHO CORDOVA,95742,,USA,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRACY,,LOVELAND,PRESIDENT,11400 WHITE ROCK ROAD,,RANCHO CORDOVA,95742,,USA,CA,,,,,,,,,,,,0000,,N,,0000,,,0000,,E&Y
,C111BG66D155,,,6M9A6,,A,Z1,2011-12-28,2025-07-24,2024-07-29,2024-07-26,NEW ADVANCES FOR PEOPLE WITH DISABILITIES,NAPD,NAPD,,3400 N SILLECT AVE,,BAKERSFIELD,CA,93308,6363,USA,20,,1975-03-01,0922,www.napd-bak.org,8H,CA,USA,0001,A8,,0000,,0000,,Y,,3400 N. SILLECT AVENUE,,BAKERSFIELD,93308,1815,USA,CA,RICHARD,,BARENCHI,DIRECTOR OF OPERATIONS & FINANCE,3400 N. SILLECT AVENUE,,BAKERSFIELD,93308,,USA,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RICHARD,,BARENCHI,DIRECTOR OF OPERATIONS & FINANCE,3400 N. SILLECT AVENUE,,BAKERSFIELD,93308,,USA,CA,,,,,,,,,,,,0000,,N,,0000,,,0000,,E&Y
,C111FE1KRJF1,,,6T4Q4,,A,Z1,2012-11-05,2025-11-25,2024-11-27,2024-11-27,"RIDE ON ST. LOUIS, INC.",,,,5 N LAKE DR,,HILLSBORO,MO,63050,4408,USA,03,,2000-02-25,1231,www.rideonstl.org,8H,MO,USA,0001,A8,,0000,,0000,,Y,,PO BOX 94,,KIMMSWICK,63053,,USA,MO,MARITA,A,WASSMAN,,PO BOX 94,,KIMMSWICK,63053,,USA,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRIANN,M,SESSION,,PO BOX 94,,KIMMSWICK,63053,,USA,MO,,,,,,,,,,,,0000,,N,,0000,,,0000,,E&Y
,C111JJBMS328,,,6PA87,,A,Z2,2012-03-09,2025-08-06,2024-08-08,2024-08-08,"EMERZIAN WOODWORKING, INC.",EMERZIAN WOODWORKING INC,"EMERZIAN WOODWORKING, INC.",,2555 N ARGYLE AVE,,FRESNO,CA,93727,1378,USA,21,,1985-06-01,1231,,2L,CA,USA,0002,2X~MF,238350,0007,238350N~321918Y~326199Y~337110Y~337127Y~337211Y~337215Y,0015,5670~7125~Y1AA~Y1FA~Y1FD~Y1QA~Z1AA~Z1FA~Z1JZ~Z1QA~Z2AA~Z2CZ~Z2DA~Z2JA~Z2QA,Y,,2555 N. ARGYLE AVE,,FRESNO,93727,1378,USA,CA,TOM,,EMERZIAN,,2555 N ARGYLE AVE,,FRESNO,93727,1378,USA,CA,KELLY,,BROWN,,2555 N ARGYLE AVE,,FRESNO,93727,1378,USA,CA,,,,,,,,,,,,KELLY,,BROWN,,2555 N. ARGYLE AVE,,FRESNO,93727,,USA,CA,THOMAS,,EMERZIAN,,2555 N ARGYLE,,FRESNO,93727,1378,USA,CA,KELLY,,BROWN,,2555 N. ARGYLE AVE,,FRESNO,93727,,USA,CA,0000,,N,,0000,,,0000,,E&Y
,C112Q3D8VPM3,,,50JA8,,A,Z2,2008-03-06,2025-08-09,2024-08-13,2024-08-13,"TURF TEQ, LLC",TURF TEQ LLC,"TURF TEQ, LLC",,699 TODD RD,,HONEY BROOK,PA,19344,1301,USA,06,,2002-06-26,1231,www.TurfTeq.com,2K,PA,USA,0003,2X~LJ~MF,333112,0002,333112Y~423820Y,0001,3990,Y,,699 TODD ROAD,,HONEY BROOK,19344,,USA,PA,JAMES,R.,DAY,,699 TODD ROAD,,HONEY BROOK,19344,,USA,PA,JAMES,R.,DAY,,699 TODD ROAD,,HONEY BROOK,19344,,USA,PA,JAMES,R.,DAY,,699 TODD ROAD,,HONEY BROOK,19344,,USA,PA,JAMES,R.,DAY,,699 TODD ROAD,,HONEY BROOK,19344,,USA,PA,JAMES,R.,DAY,,699 TODD ROAD,,HONEY BROOK,19344,,USA,PA,JAMES,R.,DAY,,699 TODD ROAD,,HONEY BROOK,19344,,USA,PA,0000,,N,,0000,,,0000,,E&Y
,C112YNTNMG99,,,4PVE2,,A,Z2,2007-03-21,2025-04-04,2024-04-08,2024-04-08,EATON REGIONAL EDUCATION SERVICE AGENCY,,INSTRUCTIONAL SERVICES,,1790 PACKARD HWY,,CHARLOTTE,MI,48813,9717,USA,07,,1962-07-01,0630,,2A,,,0002,12~H6,923110,0001,923110N,0000,,N,,1790 PACKARD HWY,,CHARLOTTE,48813,9717,USA,MI,SEAN,,WILLIAMS,SUPERINTENDENT,1790 PACKARD HWY,,CHARLOTTE,48813,9717,USA,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TINA,,MONROE,EXEC. DIR OF BUSINESS & OPERATIONS,1790 PACKARD HWY.,,CHARLOTTE,48813,9717,USA,MI,,,,,,,,,,,,0000,,N,,0000,,,0000,,
,C112ZNS5HMR4,,,7UNS3,,A,Z2,2017-04-13,2025-07-17,2024-07-19,2024-07-19,SMILEY SIM,,,,4469 SEDGWICK ST NW,,WASHINGTON,DC,20016,2713,USA,98,,2017-04-13,1231,,2J,DC,USA,0003,2X~8W~A2,541930,0002,541930Y~813920Y,0000,,Y,,4469 SEDGWICK ST. NW,,WASHINGTON,20016,2713,USA,DC,SIM,,SMILEY,,4469 SEDGWICK ST. NW,,WASHINGTON,20016,,USA,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIM,,SMILEY,,4469 SEDGWICK ST. NW,,WASHINGTON,20016,,USA,DC,,,,,,,,,,,,0000,,N,,0000,,NPDY,0000,,E&Y
,C113A7U19RD5,,,5LXD1,,A,Z2,2009-07-27,2026-01-13,2025-01-15,2025-01-15,LOUTECH LLC,,,,13810 MOUNTAIN AVE,,CHINO,CA,91710,9014,USA,35,,2008-08-01,1231,http://www.loutech.net,ZZ,CA,USA,0003,2X~LJ~MF,332710,0014,332510Y~332710Y~332721Y~332722Y~332911Y~332994Y~332999Y~333618Y~333998Y~336390Y~336412Y~336413Y~336419Y~336992Y,0016,1560~1610~1615~1620~1630~1680~2010~2040~2840~2845~2850~2895~5306~5310~5342~5365,Y,,13810 MOUNTAIN AVE.,,CHINO,91710,9014,USA,CA,MARK,,SCHELBERT,PRESIDENT,13810 MOUNTAIN AVE.,,CHINO,91710,9014,USA,CA,MARK,,SCHELBERT,,13810 MOUNTAIN AVE.,,CHINO,91710,9014,USA,CA,MARK,,SCHELBERT,,13810 MOUNTAIN AVE.,,CHINO,91710,9014,USA,CA,MARK,,SCHELBERT,,13810 MOUNTAIN AVE.,,CHINO,91710,9014,USA,CA,MARK,,SCHELBERT,PRESIDENT,13810 MOUNTAIN AVE.,,CHINO,91710,9014,USA,CA,MARK,,SCHELBERT,,13810 MOUNTAIN AVE.,,CHINO,91710,9014,USA,CA,0000,,Y,,0000,,,0000,,E&Y
,C113E4798JC5,,,62EJ7,,A,Z2,2010-07-16,2026-01-25,2025-01-29,2025-01-29,"CAROLINA LAND AND LAKES RC-D, INC.",,,,815 VIRGINIA ST SW,,LENOIR,NC,28645,6036,USA,05,,1999-07-01,1231,www.carolinalandandlakes.org,8H,NC,USA,0001,A8,813312,0002,813312N~813920N,0000,,N,,PO BOX 2977,,LENOIR,28645,,USA,NC,MELISSA,,PATTON,MRS.,PO BOX 2977,,LENOIR,28645,,USA,NC,,,,,,,,,,,,MELISSA,,PATTON,MRS.,PO BOX 2977,,LENOIR,28645,,USA,NC,MELISSA,,PATTON,MRS.,PO BOX 2977,,LENOIR,28645,,USA,NC,MELISSA,,PATTON,MRS.,PO BOX 2977,,LENOIR,28645,,USA,NC,MELISSA,,PATTON,MRS.,PO BOX 2977,,LENOIR,28645,,USA,NC,0000,,N,,0000,,,0006,CTYNC027~CTYNC119~CTYNC159~MSA1520~MSA3290~STANC,E&Y
,C113F9JLF4D9,,,6TSS5,,E,Z2,2012-12-16,2024-10-08,2024-10-08,2023-10-10,TRANSIENT ELECTRONICS INC,,,,70 FAIRMOUNT ST,,BROOKLINE,MA,02445,5934,USA,04,,2012-03-02,1231,,2L,DE,USA,0002,27~2X,541715,0001,541715E,0001,AJ11,N,,70 FAIRMOUNT STREET,,BROOKLINE,02445,5934,USA,MA,SANDRA,,PARK,PRESIDENT,70 FAIRMOUNT STREET,,BROOKLINE,02445,,USA,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SANDRA,,PARK,PRESIDENT,70 FAIRMOUNT STREET,,BROOKLINE,02445,,USA,MA,,,,,,,,,,,,0001,541715YYYY,N,,0000,,,0000,,E&Y
